date_id,date_complete,jour,mois,trimestre,annee,jour_semaine,est_weekend,saison
20220101,1/1/2022,1,1,1,2022,Samedi,1,Hiver
20220102,1/2/2022,2,1,1,2022,Dimanche,1,Hiver
20220103,1/3/2022,3,1,1,2022,Lundi,0,Hiver
20220104,1/4/2022,4,1,1,2022,Mardi,0,
20220105,1/5/2022,5,1,1,2022,Mercredi,0,Hiver
20220106,1/6/2022,6,1,1,2022,Jeudi,0,Hiver
20220107,1/7/2022,7,1,1,2022,Vendredi,0,Hiver
20220108,1/8/2022,8,1,1,2022,Samedi,1,Hiver
20220109,1/9/2022,9,1,1,2022,Dimanche,1,Hiver
20220110,1/10/2022,10,1,1,2022,Lundi,0,Hiver
20220111,1/11/2022,11,1,1,2022,Mardi,0,Hiver
20220112,1/12/2022,12,1,1,2022,Mercredi,0,Hiver
20220113,1/13/2022,13,1,1,2022,Jeudi,0,Hiver
20220114,1/14/2022,14,1,1,2022,Vendredi,0,Hiver
20220115,1/15/2022,15,1,1,2022,Samedi,1,Hiver
20220116,1/16/2022,16,1,1,2022,Dimanche,1,Hiver
20220117,1/17/2022,17,1,1,2022,Lundi,0,Hiver
20220118,1/18/2022,18,1,1,2022,Mardi,0,Hiver
20220119,1/19/2022,19,1,1,2022,Mercredi,0,Hiver
20220120,1/20/2022,20,1,1,2022,Jeudi,0,Hiver
20220121,1/21/2022,21,1,1,2022,Vendredi,0,Hiver
20220122,1/22/2022,22,1,1,2022,Samedi,1,Hiver
20220123,1/23/2022,23,1,1,2022,Dimanche,1,
20220124,1/24/2022,24,1,1,2022,Lundi,0,Hiver
20220125,1/25/2022,25,1,1,2022,Mardi,0,Hiver
20220126,1/26/2022,26,1,1,2022,Mercredi,0,Hiver
20220127,1/27/2022,27,1,1,2022,Jeudi,0,Hiver
20220128,1/28/2022,28,1,1,2022,Vendredi,0,Hiver
20220129,1/29/2022,29,1,1,2022,Samedi,1,Hiver
20220130,1/30/2022,30,1,1,2022,Dimanche,1,Hiver
20220131,1/31/2022,31,1,1,2022,Lundi,0,Hiver
20220201,2/1/2022,1,2,1,2022,Mardi,0,Hiver
20220202,2/2/2022,2,2,1,2022,Mercredi,0,Hiver
20220203,2/3/2022,3,2,1,2022,Jeudi,0,Hiver
20220204,2/4/2022,4,2,1,2022,Vendredi,0,Hiver
20220205,2/5/2022,5,2,1,2022,Samedi,1,Hiver
20220206,2/6/2022,6,2,1,2022,Dimanche,1,Hiver
20220207,2/7/2022,7,2,1,2022,Lundi,0,Hiver
20220208,2/8/2022,8,2,1,2022,Mardi,0,Hiver
20220209,2/9/2022,9,2,1,2022,Mercredi,0,Hiver
20220210,2/10/2022,10,2,1,2022,Jeudi,0,Hiver
20220211,2/11/2022,11,2,1,2022,Vendredi,0,Hiver
20220212,2/12/2022,12,2,1,2022,Samedi,1,Hiver
20220213,2/13/2022,13,2,1,2022,Dimanche,1,Hiver
20220214,2/14/2022,14,2,1,2022,Lundi,0,Hiver
20220215,2/15/2022,15,2,1,2022,Mardi,0,Hiver
20220216,2/16/2022,16,2,1,2022,Mercredi,0,Hiver
20220217,2/17/2022,17,2,1,2022,Jeudi,0,Hiver
20220218,2/18/2022,18,2,1,2022,Vendredi,0,Hiver
20220219,2/19/2022,19,2,1,2022,Samedi,1,Hiver
20220220,2/20/2022,20,2,1,2022,Dimanche,1,Hiver
20220221,2/21/2022,21,2,1,2022,Lundi,0,Hiver
20220222,2/22/2022,22,2,1,2022,Mardi,0,Hiver
20220223,2/23/2022,23,2,1,2022,Mercredi,0,Hiver
20220224,24/02/2022,24,2,1,2022,Jeudi,0,Hiver
20220225,2/25/2022,25,2,1,2022,Vendredi,0,Hiver
20220226,2/26/2022,26,2,1,2022,Samedi,1,Hiver
20220227,2/27/2022,27,2,1,2022,Dimanche,1,Hiver
20220228,2/28/2022,28,2,1,2022,Lundi,0,Hiver
20220301,3/1/2022,1,3,1,2022,Mardi,0,Printemps
20220302,3/2/2022,2,3,1,2022,Mercredi,0,Printemps
20220303,3/3/2022,3,3,1,2022,Jeudi,0,Printemps
20220304,3/4/2022,4,3,1,2022,Vendredi,0,Printemps
20220305,3/5/2022,5,3,1,2022,Samedi,1,Printemps
20220306,3/6/2022,6,3,1,2022,Dimanche,1,Printemps
20220307,3/7/2022,7,3,1,2022,Lundi,0,Printemps
20220308,3/8/2022,8,3,1,2022,Mardi,0,Printemps
20220309,3/9/2022,9,3,1,2022,Mercredi,0,Printemps
20220310,3/10/2022,10,3,1,2022,Jeudi,0,Printemps
20220311,3/11/2022,11,3,1,2022,Vendredi,0,Printemps
20220312,3/12/2022,12,3,1,2022,Samedi,1,Printemps
20220313,3/13/2022,13,3,1,2022,Dimanche,1,Printemps
20220314,3/14/2022,14,3,1,2022,Lundi,0,Printemps
20220315,3/15/2022,15,3,1,2022,Mardi,0,Printemps
20220316,3/16/2022,16,3,1,2022,Mercredi,0,Printemps
20220317,3/17/2022,17,3,1,2022,Jeudi,0,
20220318,3/18/2022,18,3,1,2022,Vendredi,0,Printemps
20220319,3/19/2022,19,3,1,2022,Samedi,1,Printemps
20220320,3/20/2022,20,3,1,2022,Dimanche,1,Printemps
20220321,3/21/2022,21,3,1,2022,Lundi,0,Printemps
20220322,3/22/2022,22,3,1,2022,Mardi,0,Printemps
20220323,3/23/2022,23,3,1,2022,Mercredi,0,Printemps
20220324,24/03/2022,24,3,1,2022,Jeudi,0,Printemps
20220325,3/25/2022,25,3,1,2022,Vendredi,0,Printemps
20220326,3/26/2022,26,3,1,2022,Samedi,1,Printemps
20220327,3/27/2022,27,3,1,2022,Dimanche,1,
20220328,3/28/2022,28,3,1,2022,Lundi,0,Printemps
20220329,3/29/2022,29,3,1,2022,Mardi,0,
20220330,3/30/2022,30,3,1,2022,Mercredi,0,Printemps
20220331,3/31/2022,31,3,1,2022,Jeudi,0,Printemps
20220401,4/1/2022,1,4,2,2022,Vendredi,0,Printemps
20220402,4/2/2022,2,4,2,2022,Samedi,1,Printemps
20220403,4/3/2022,3,4,2,2022,Dimanche,1,Printemps
20220404,4/4/2022,4,4,2,2022,Lundi,0,Printemps
20220405,4/5/2022,5,4,2,2022,Mardi,0,Printemps
20220406,4/6/2022,6,4,2,2022,Mercredi,0,
20220407,4/7/2022,7,4,2,2022,Jeudi,0,Printemps
20220408,4/8/2022,8,4,2,2022,Vendredi,0,Printemps
20220409,4/9/2022,9,4,2,2022,Samedi,1,Printemps
20220410,4/10/2022,10,4,2,2022,Dimanche,1,Printemps
20220411,4/11/2022,11,4,2,2022,Lundi,0,Printemps
20220412,4/12/2022,12,4,2,2022,Mardi,0,Printemps
20220413,4/13/2022,13,4,2,2022,Mercredi,0,Printemps
20220414,4/14/2022,14,4,2,2022,Jeudi,0,Printemps
20220415,15/04/2022,15,4,2,2022,Vendredi,0,Printemps
20220416,4/16/2022,16,4,2,2022,Samedi,1,Printemps
20220417,4/17/2022,17,4,2,2022,Dimanche,1,Printemps
20220418,18/04/2022,18,4,2,2022,Lundi,0,Printemps
20220419,4/19/2022,19,4,2,2022,Mardi,0,Printemps
20220420,20/04/2022,20,4,2,2022,Mercredi,0,Printemps
20220421,4/21/2022,21,4,2,2022,Jeudi,0,Printemps
20220422,4/22/2022,22,4,2,2022,Vendredi,0,Printemps
20220423,4/23/2022,23,4,2,2022,Samedi,1,Printemps
20220424,4/24/2022,24,4,2,2022,Dimanche,1,Printemps
20220425,4/25/2022,25,4,2,2022,Lundi,0,Printemps
20220426,4/26/2022,26,4,2,2022,Mardi,0,Printemps
20220427,4/27/2022,27,4,2,2022,Mercredi,0,Printemps
20220428,4/28/2022,28,4,2,2022,Jeudi,0,Printemps
20220429,4/29/2022,29,4,2,2022,Vendredi,0,Printemps
20220430,4/30/2022,30,4,2,2022,Samedi,1,Printemps
20220501,5/1/2022,1,5,2,2022,Dimanche,1,Printemps
20220502,5/2/2022,2,5,2,2022,Lundi,0,Printemps
20220503,5/3/2022,3,5,2,2022,Mardi,0,Printemps
20220504,5/4/2022,4,5,2,2022,Mercredi,0,Printemps
20220505,5/5/2022,5,5,2,2022,Jeudi,0,Printemps
20220506,5/6/2022,6,5,2,2022,Vendredi,0,
20220507,5/7/2022,7,5,2,2022,Samedi,1,Printemps
20220508,5/8/2022,8,5,2,2022,Dimanche,1,Printemps
20220509,5/9/2022,9,5,2,2022,Lundi,0,Printemps
20220510,5/10/2022,10,5,2,2022,Mardi,0,Printemps
20220511,5/11/2022,11,5,2,2022,Mercredi,0,Printemps
20220512,12/5/2022,12,5,2,2022,Jeudi,0,Printemps
20220513,5/13/2022,13,5,2,2022,Vendredi,0,Printemps
20220514,5/14/2022,14,5,2,2022,Samedi,1,Printemps
20220515,5/15/2022,15,5,2,2022,Dimanche,1,Printemps
20220516,5/16/2022,16,5,2,2022,Lundi,0,Printemps
20220517,5/17/2022,17,5,2,2022,Mardi,0,Printemps
20220518,5/18/2022,18,5,2,2022,Mercredi,0,Printemps
20220519,5/19/2022,19,5,2,2022,Jeudi,0,Printemps
20220520,5/20/2022,20,5,2,2022,Vendredi,0,Printemps
20220521,21/05/2022,21,5,2,2022,Samedi,1,Printemps
20220522,5/22/2022,22,5,2,2022,Dimanche,1,Printemps
20220523,5/23/2022,23,5,2,2022,Lundi,0,Printemps
20220524,5/24/2022,24,5,2,2022,Mardi,0,Printemps
20220525,5/25/2022,25,5,2,2022,Mercredi,0,Printemps
20220526,5/26/2022,26,5,2,2022,Jeudi,0,Printemps
20220527,5/27/2022,27,5,2,2022,Vendredi,0,Printemps
20220528,5/28/2022,28,5,2,2022,Samedi,1,Printemps
20220529,5/29/2022,29,5,2,2022,Dimanche,1,Printemps
20220530,5/30/2022,30,5,2,2022,Lundi,0,Printemps
20220531,5/31/2022,31,5,2,2022,Mardi,0,Printemps
20220601,6/1/2022,1,6,2,2022,Mercredi,0,Été
20220602,6/2/2022,2,6,2,2022,Jeudi,0,Été
20220603,6/3/2022,3,6,2,2022,Vendredi,0,Été
20220604,6/4/2022,4,6,2,2022,Samedi,1,Été
20220605,6/5/2022,5,6,2,2022,Dimanche,1,Été
20220606,6/6/2022,6,6,2,2022,Lundi,0,Été
20220607,6/7/2022,7,6,2,2022,Mardi,0,Été
20220608,6/8/2022,8,6,2,2022,Mercredi,0,Été
20220609,6/9/2022,9,6,2,2022,Jeudi,0,Été
20220610,6/10/2022,10,6,2,2022,Vendredi,0,Été
20220611,6/11/2022,11,6,2,2022,Samedi,1,Été
20220612,6/12/2022,12,6,2,2022,Dimanche,1,Été
20220613,6/13/2022,13,6,2,2022,Lundi,0,Été
20220614,6/14/2022,14,6,2,2022,Mardi,0,Été
20220615,6/15/2022,15,6,2,2022,Mercredi,0,Été
20220616,6/16/2022,16,6,2,2022,Jeudi,0,Été
20220617,6/17/2022,17,6,2,2022,Vendredi,0,Été
20220618,6/18/2022,18,6,2,2022,Samedi,1,Été
20220619,6/19/2022,19,6,2,2022,Dimanche,1,Été
20220620,6/20/2022,20,6,2,2022,Lundi,0,Été
20220621,6/21/2022,21,6,2,2022,Mardi,0,Été
20220622,6/22/2022,22,6,2,2022,Mercredi,0,Été
20220623,6/23/2022,23,6,2,2022,Jeudi,0,Été
20220624,6/24/2022,24,6,2,2022,Vendredi,0,Été
20220625,6/25/2022,25,6,2,2022,Samedi,1,Été
20220626,6/26/2022,26,6,2,2022,Dimanche,1,Été
20220627,6/27/2022,27,6,2,2022,Lundi,0,Été
20220628,6/28/2022,28,6,2,2022,Mardi,0,Été
20220629,6/29/2022,29,6,2,2022,Mercredi,0,Été
20220630,6/30/2022,30,6,2,2022,Jeudi,0,Été
20220701,7/1/2022,1,7,3,2022,Vendredi,0,Été
20220702,7/2/2022,2,7,3,2022,Samedi,1,Été
20220703,7/3/2022,3,7,3,2022,Dimanche,1,Été
20220704,7/4/2022,4,7,3,2022,Lundi,0,Été
20220705,5/7/2022,5,7,3,2022,Mardi,0,Été
20220706,7/6/2022,6,7,3,2022,Mercredi,0,Été
20220707,7/7/2022,7,7,3,2022,Jeudi,0,Été
20220708,7/8/2022,8,7,3,2022,Vendredi,0,Été
20220709,7/9/2022,9,7,3,2022,Samedi,1,Été
20220710,7/10/2022,10,7,3,2022,Dimanche,1,Été
20220711,7/11/2022,11,7,3,2022,Lundi,0,Été
20220712,7/12/2022,12,7,3,2022,Mardi,0,Été
20220713,7/13/2022,13,7,3,2022,Mercredi,0,Été
20220714,7/14/2022,14,7,3,2022,Jeudi,0,Été
20220715,7/15/2022,15,7,3,2022,Vendredi,0,Été
20220716,7/16/2022,16,7,3,2022,Samedi,1,Été
20220717,7/17/2022,17,7,3,2022,Dimanche,1,Été
20220718,7/18/2022,18,7,3,2022,Lundi,0,Été
20220719,7/19/2022,19,7,3,2022,Mardi,0,Été
20220720,7/20/2022,20,7,3,2022,Mercredi,0,Été
20220721,7/21/2022,21,7,3,2022,Jeudi,0,Été
20220722,7/22/2022,22,7,3,2022,Vendredi,0,Été
20220723,7/23/2022,23,7,3,2022,Samedi,1,Été
20220724,7/24/2022,24,7,3,2022,Dimanche,1,Été
20220725,7/25/2022,25,7,3,2022,Lundi,0,Été
20220726,7/26/2022,26,7,3,2022,Mardi,0,Été
20220727,7/27/2022,27,7,3,2022,Mercredi,0,Été
20220728,7/28/2022,28,7,3,2022,Jeudi,0,Été
20220729,7/29/2022,29,7,3,2022,Vendredi,0,Été
20220730,7/30/2022,30,7,3,2022,Samedi,1,Été
20220731,7/31/2022,31,7,3,2022,Dimanche,1,Été
20220801,8/1/2022,1,8,3,2022,Lundi,0,Été
20220802,8/2/2022,2,8,3,2022,Mardi,0,Été
20220803,8/3/2022,3,8,3,2022,Mercredi,0,Été
20220804,8/4/2022,4,8,3,2022,Jeudi,0,Été
20220805,8/5/2022,5,8,3,2022,Vendredi,0,Été
20220806,8/6/2022,6,8,3,2022,Samedi,1,Été
20220807,8/7/2022,7,8,3,2022,Dimanche,1,Été
20220808,8/8/2022,8,8,3,2022,Lundi,0,Été
20220809,9/8/2022,9,8,3,2022,Mardi,0,Été
20220810,8/10/2022,10,8,3,2022,Mercredi,0,Été
20220811,8/11/2022,11,8,3,2022,Jeudi,0,
20220812,8/12/2022,12,8,3,2022,Vendredi,0,Été
20220813,8/13/2022,13,8,3,2022,Samedi,1,Été
20220814,8/14/2022,14,8,3,2022,Dimanche,1,Été
20220815,8/15/2022,15,8,3,2022,Lundi,0,Été
20220816,8/16/2022,16,8,3,2022,Mardi,0,Été
20220817,8/17/2022,17,8,3,2022,Mercredi,0,
20220818,18/08/2022,18,8,3,2022,Jeudi,0,Été
20220819,8/19/2022,19,8,3,2022,Vendredi,0,Été
20220820,8/20/2022,20,8,3,2022,Samedi,1,Été
20220821,8/21/2022,21,8,3,2022,Dimanche,1,
20220822,8/22/2022,22,8,3,2022,Lundi,0,Été
20220823,8/23/2022,23,8,3,2022,Mardi,0,Été
20220824,8/24/2022,24,8,3,2022,Mercredi,0,Été
20220825,8/25/2022,25,8,3,2022,Jeudi,0,Été
20220826,8/26/2022,26,8,3,2022,Vendredi,0,Été
20220827,8/27/2022,27,8,3,2022,Samedi,1,Été
20220828,8/28/2022,28,8,3,2022,Dimanche,1,Été
20220829,8/29/2022,29,8,3,2022,Lundi,0,Été
20220830,8/30/2022,30,8,3,2022,Mardi,0,Été
20220831,8/31/2022,31,8,3,2022,Mercredi,0,Été
20220901,9/1/2022,1,9,3,2022,Jeudi,0,Automne
20220902,9/2/2022,2,9,3,2022,Vendredi,0,Automne
20220903,9/3/2022,3,9,3,2022,Samedi,1,Automne
20220904,9/4/2022,4,9,3,2022,Dimanche,1,Automne
20220905,9/5/2022,5,9,3,2022,Lundi,0,Automne
20220906,9/6/2022,6,9,3,2022,Mardi,0,Automne
20220907,9/7/2022,7,9,3,2022,Mercredi,0,Automne
20220908,9/8/2022,8,9,3,2022,Jeudi,0,Automne
20220909,9/9/2022,9,9,3,2022,Vendredi,0,Automne
20220910,9/10/2022,10,9,3,2022,Samedi,1,Automne
20220911,9/11/2022,11,9,3,2022,Dimanche,1,Automne
20220912,9/12/2022,12,9,3,2022,Lundi,0,Automne
20220913,9/13/2022,13,9,3,2022,Mardi,0,Automne
20220914,9/14/2022,14,9,3,2022,Mercredi,0,Automne
20220915,9/15/2022,15,9,3,2022,Jeudi,0,Automne
20220916,9/16/2022,16,9,3,2022,Vendredi,0,Automne
20220917,9/17/2022,17,9,3,2022,Samedi,1,Automne
20220918,9/18/2022,18,9,3,2022,Dimanche,1,
20220919,9/19/2022,19,9,3,2022,Lundi,0,Automne
20220920,9/20/2022,20,9,3,2022,Mardi,0,Automne
20220921,9/21/2022,21,9,3,2022,Mercredi,0,Automne
20220922,9/22/2022,22,9,3,2022,Jeudi,0,Automne
20220923,9/23/2022,23,9,3,2022,Vendredi,0,Automne
20220924,9/24/2022,24,9,3,2022,Samedi,1,Automne
20220925,9/25/2022,25,9,3,2022,Dimanche,1,Automne
20220926,9/26/2022,26,9,3,2022,Lundi,0,Automne
20220927,9/27/2022,27,9,3,2022,Mardi,0,Automne
20220928,9/28/2022,28,9,3,2022,Mercredi,0,Automne
20220929,9/29/2022,29,9,3,2022,Jeudi,0,Automne
20220930,9/30/2022,30,9,3,2022,Vendredi,0,Automne
20221001,10/1/2022,1,10,4,2022,Samedi,1,Automne
20221002,10/2/2022,2,10,4,2022,Dimanche,1,Automne
20221003,10/3/2022,3,10,4,2022,Lundi,0,Automne
20221004,10/4/2022,4,10,4,2022,Mardi,0,Automne
20221005,10/5/2022,5,10,4,2022,Mercredi,0,Automne
20221006,10/6/2022,6,10,4,2022,Jeudi,0,Automne
20221007,10/7/2022,7,10,4,2022,Vendredi,0,Automne
20221008,10/8/2022,8,10,4,2022,Samedi,1,Automne
20221009,10/9/2022,9,10,4,2022,Dimanche,1,Automne
20221010,10/10/2022,10,10,4,2022,Lundi,0,Automne
20221011,10/11/2022,11,10,4,2022,Mardi,0,Automne
20221012,10/12/2022,12,10,4,2022,Mercredi,0,Automne
20221013,10/13/2022,13,10,4,2022,Jeudi,0,
