incident_id,date_id,compagnie_id,aeroport_id,type_incident_id,severite_score,duree_immobilisation_h,cout_incident_usd,nb_passagers_affectes,resolu
1,20220531,,11,9,3,37.8,1259632.66,220,1
2,20221116,2,4,3,4,10.6,1385762.32,458,1
3,20221010,6,12,1,99,33.5,1920766.43,317,1
4,20240223,4,1,3,2,0,28593.49,166,1
5,20220320,7,12,5,3,1.9,667703.7,119,1
6,20221018,5,6,5,4,17.7,1807448.67,282,1
7,20240125,3,10,6,4,18.2,1545705.17,222,1
8,20240303,1,3,5,2,26.1,193603.84,170,1
9,20220930,1,1,9,3,5.6,1491698.07,347,1
10,20240416,7,9,1,5,14.7,1178878.67,317,1
11,20220708,4,6,10,5,68.7,561080.74,327,1
12,20240414,4,5,9,3,42.3,1744961.91,193,1
13,20220605,2,9,6,3,28.9,927292.44,391,0
14,20240204,8,6,9,2,70,1681654.1,486,1
15,20240605,8,4,8,4,41.2,867749.19,324,1
16,20231228,3,9,3,3,1.5,1886224.33,266,1
17,20221006,4,3,6,3,62.6,1964502.4,102,1
18,20240219,2,12,1,1,10.6,778712.65,415,1
19,20240516,3,11,1,1,68.1,1353589.77,416,1
20,20230904,2,5,1,4,64,1010972.37,94,1
21,20220707,10,2,7,2,42.1,977863.33,19,0
22,20230807,1,7,10,3,69.3,453039.13,405,1
23,20241001,2,7,1,3,42.2,1947019.92,137,1
24,20230516,5,2,5,2,57.7,127576.34,14,1
25,20230623,9,6,9,4,70.5,243772.04,189,1
26,20231119,7,5,9,1,17.2,173820.02,354,1
27,20240107,1,2,9,2,58.2,736327.18,109,1
28,20240207,10,4,2,1,1.6,902939.84,216,1
29,20220829,6,12,2,5,21.5,1937778.85,90,1
30,20220911,7,10,1,5,47.5,1015399.48,86,1
31,20230917,4,2,6,2,45.5,133917.09,12,1
32,20220923,10,10,9,4,21.9,1302392.84,64,1
33,20230604,9,5,3,5,14.8,106622.56,24,1
34,20241108,7,3,3,4,13.9,239058.21,75,0
35,20221224,3,7,2,1,58.2,107522.67,237,0
36,,10,2,1,5,25.9,1960544.34,172,1
37,20230113,5,7,3,4,58.5,729964.15,12,1
38,20220226,2,10,5,2,4,526777.44,407,1
39,20241228,6,4,8,5,30.2,350223.38,295,1
40,20220820,3,5,3,5,48.4,70553.31,282,1
41,20230501,2,3,5,2,68.5,840464.35,143,1
42,20230913,1,8,3,5,54.4,1251287.26,355,0
43,20230118,1,3,3,3,22.2,887211.79,162,1
44,20230417,2,3,1,3,59.4,1810468.73,495,1
45,20240317,,9,2,3,8.1,1846679.85,119,0
46,20220920,5,12,1,3,68.2,1580538.33,408,1
47,20231213,5,11,8,3,57.1,1965896.72,206,1
48,20240306,4,9,3,5,70.1,1874198.72,487,1
49,20230218,7,7,1,5,2.7,1574931.68,328,1
50,20220103,7,8,1,1,27.7,650357.3,24,0
51,20230528,,11,1,5,31.2,1701721.4,347,1
52,20231128,3,9,3,3,51.5,686528.44,353,0
53,20240917,7,5,9,3,70.4,1503697.34,233,1
54,20240916,8,6,1,2,24.1,1777974.51,426,1
55,20231227,7,12,1,4,12,1986987.78,52,1
56,20240309,10,3,9,3,54.6,1008321.57,454,1
57,20230503,8,11,1,4,4.2,1435069.51,371,1
58,20221208,3,10,1,2,30.2,355583.55,291,1
59,20230722,6,3,7,4,23.3,1285288.82,341,1
60,20220607,4,4,1,5,12.2,1278498.53,197,1
61,20230817,5,2,6,5,61,1470408.35,104,1
62,20230210,10,3,10,1,59,1150875.92,398,0
63,20231116,3,6,1,3,20,1278791.47,258,1
64,20230929,3,12,1,4,48,1574577.86,469,1
65,20231218,3,8,5,1,4.8,1454206.98,169,0
66,20220409,3,12,5,1,51.5,1276948.88,208,1
67,20230409,9,4,1,5,42.7,1053302.76,480,1
68,20221003,5,4,9,1,38.7,1859306.34,373,1
69,20240814,9,3,3,5,35.2,1535908.36,165,1
70,20231108,4,2,7,2,19.1,1020919.93,412,1
71,20220128,9,1,4,1,4.9,1921608.05,40,1
72,20240730,4,4,4,5,69.4,1359879.5,465,1
73,20221004,10,6,3,4,63.1,1618235.04,39,1
74,20231113,4,6,9,4,55.6,442983.3,235,1
75,20241225,10,1,8,2,71.5,1123583.2,163,0
76,20220612,10,6,9,3,69.6,771357.58,234,1
77,20230430,6,4,4,3,49,839020.43,299,0
78,20240529,3,12,5,4,35.9,8288.14,315,1
79,20240212,1,7,3,1,54.5,962972.93,238,1
80,20220407,3,2,9,3,2.1,1548881.82,75,1
81,20230926,10,6,8,3,16.2,896939.86,286,1
82,20230829,2,8,6,1,46.1,1148623.01,112,1
83,20221205,4,8,6,2,44.8,385261.76,63,0
84,20220629,4,2,1,4,47.9,487897.6,244,1
