perf_id,date_id,compagnie_id,aeroport_id,nb_vols_total,taux_ponctualite,taux_annulation,retard_moyen_min,satisfaction_score,revenus_estimes_usd
1,20220101,1,5,127,0.82,0.0185,13.9,4.87,7393731.31
2,20220101,2,10,294,0.83,0.0118,15,3.89,10953686.03
3,20220101,3,7,162,0.81,0.0224,41.9,3.41,10785886.22
4,20220101,4,4,585,0.65,0.0084,32.6,4.38,14294367.44
5,20220101,5,4,267,0.74,0.0304,42.7,4.74,3840842.14
6,20220101,6,2,481,0.84,0.0099,14.2,4.03,11015650.11
7,20220101,7,3,132,0.85,0.0062,10.5,4.5,1607107.37
8,20220101,8,7,168,0.78,0.0328,21.8,3.27,3023101.48
9,20220101,9,11,218,0.73,0.0093,22.4,4.29,8417703.32
10,20220101,10,1,487,1.5,0.011,19.4,4.69,12689388.11
11,20220201,1,7,436,0.75,0.0175,28.1,3.87,14389381.88
12,20220201,2,8,414,0.9,0.0124,38.7,4.88,12130443.79
13,20220201,3,10,270,0.88,0.0362,41.7,4.9,14162364.63
14,20220201,4,3,547,0.71,0.0174,34.6,4.34,11413491.42
15,20220201,5,4,213,0.77,0.0235,28.7,3.71,8473386.21
16,20220201,6,7,NULL,0.77,0.0074,41.8,4.61,12826509.67
17,20220201,7,10,264,0.92,0.039,8.1,3.73,13008037.78
18,20220201,8,7,324,0.78,0.0104,11,3.25,7070930.42
19,20220201,9,8,175,0.75,0.0222,12.8,3.92,8120388.82
20,20220201,10,8,549,0.79,0.0092,39.7,4.72,7582183.83
21,20220301,1,6,208,0.84,0.0089,21.4,3.04,7111102.75
22,20220301,2,1,596,0.91,0.0351,35.7,4.88,13524902.13
23,20220301,3,4,-98,0.9,0.0059,17.8,4.78,8527666.68
24,20220301,4,3,363,0.75,0.0092,18.9,4.78,6701538.43
25,20220301,5,3,296,0.76,0.0099,6.6,3.72,11082136.2
26,20220301,6,3,568,0.87,0.0203,44.9,3.14,11905177.97
27,20220301,7,5,238,0.91,0.0316,42.5,3.31,3603641.94
28,20220301,8,11,532,0.84,0.0269,32.7,3.66,4350441.03
29,20220301,9,9,363,0.8,0.0365,29.3,3.41,3600383.2
30,20220301,10,12,412,0.78,0.0295,12.8,3.83,4633412.7
31,20220401,1,11,342,0.79,0.0354,22.7,3.42,
32,20220401,2,9,511,0.95,0.0362,28.8,3.94,6343954.59
33,20220401,3,12,88,0.84,0.026,12.5,3.64,11407473.43
34,20220401,4,11,567,0.69,0.006,6.2,3.04,8723645.17
35,20220401,5,11,302,0.78,0.0373,12.8,3.95,10914193.97
36,20220401,6,11,271,0.88,0.0344,6.7,3.21,5822498.7
37,20220401,7,4,276,2,0.0379,24.5,3.54,9259478.6
38,20220401,8,4,207,0.84,0.032,32.3,4.71,6095471.33
39,20220401,9,9,557,0.79,0.0251,24.9,4.79,9670006.07
40,20220401,10,8,423,0.74,0.0107,34.8,3.54,11521105.25
41,20220501,1,6,558,0.85,0.0214,41.5,4.61,6159846.73
42,20220501,2,10,555,0.95,0.0375,42,4.17,13717819.97
43,20220501,3,11,241,0.87,0.0398,36.4,4.3,10464696.29
