vol_id,date_id,compagnie_id,aeroport_dep_id,aeroport_arr_id,meteo_id,cause_id,retard_depart_min,retard_arrivee_min,duree_vol_min,distance_miles,annule,detourne,nb_passagers
1,20230802,6,9,10,7,1,0,10,92,5497.1,0,0,173
2,20240928,3,8,1,5,1,35,38,652,2180.5,0,0,105
3,20240711,10,5,1,3,1,0,0,505,1782.2,0,0,113
4,20220301,10,8,9,10,1,100,98,406,7785.0,0,0,297
5,20240115,9,2,11,1,6,0,1,498,1814.7,0,0,308
6,20221231,1,1,4,9,1,237,235,378,656.7,0,0,387
7,20220219,9,11,12,4,1,66,69,403,5755.6,0,0,441
8,20221023,4,1,6,4,1,126,124,538,3229.9,0,0,523
9,20241202,3,3,9,6,1,31,38,500,3278.6,0,0,147
10,20231228,5,2,10,3,2,0,8,160,2184.0,0,0,238
11,20240325,1,4,9,8,6,18,28,148,3192.0,0,0,228
12,20221127,8,6,12,10,1,0,0,175,6906.3,0,0,460
13,20240715,5,12,11,3,1,0,0,143,4015.6,0,0,242
14,20230201,2,12,11,2,1,0,1,587,8034.6,0,0,530
15,20220923,10,3,7,1,1,0,0,339,1714.8,0,0,342
16,20220620,7,10,5,2,2,0,0,132,6468.7,0,0,104
17,20230530,4,7,10,2,1,0,2,329,6220.6,0,0,401
18,20231220,4,12,9,5,1,226,234,216,2990.9,0,0,476
19,20230712,,7,1,1,1,0,0,395,4295.0,0,0,368
20,20240119,9,4,2,1,1,0,1,593,6404.9,0,0,371
21,20231112,6,8,7,1,1,0,0,296,8067.5,0,0,225
22,20221126,1,3,11,10,1,0,6,606,8840.6,0,0,299
23,20231020,2,1,4,1,5,0,1,704,1792.0,0,0,495
24,20240614,1,10,2,2,1,1782,8,491,2228.5,0,0,171
25,20240809,6,4,3,4,1,16,23,548,2237.1,0,0,398
26,20240404,3,6,10,2,1,0,0,512,2253.9,0,0,131
27,,5,3,4,6,1,0,1,324,2247.0,0,0,326
28,20220809,5,11,7,8,1,0,0,647,3623.4,0,0,455
29,20240117,1,8,6,8,1,0,0,611,6698.5,0,0,538
30,20220514,4,5,11,4,6,58,56,621,6178.9,0,0,372
31,20221015,6,1,2,2,7,0,8,241,1668.0,0,0,491
32,20220614,6,6,4,1,1,-145,3,241,4321.7,0,0,84
33,20220718,5,7,9,6,6,0,4,78,3413.5,0,0,244
34,20241212,6,10,11,8,1,0,5,400,4233.3,0,0,502
35,20220224,5,7,10,3,1,0,1,385,6579.7,0,0,522
36,20230611,3,12,7,2,1,8983,0,690,1021.3,0,0,267
37,20241214,2,11,6,3,8,0,1,355,4881.7,0,0,283
38,20240907,10,8,9,8,1,0,1,703,1080.2,0,0,546
39,20230705,10,2,6,3,1,0,3,444,8815.5,0,0,244
40,20230529,8,8,11,2,1,0,0,131,438.1,0,0,536
41,20240424,4,9,3,2,1,0,3,109,8492.7,0,0,428
42,20221108,10,8,12,1,1,0,3,201,7806.6,0,0,377
43,20240205,6,11,2,1,1,0,8,270,8003.7,0,0,109
44,20240825,10,12,4,1,1,-192,9,586,4135.6,0,0,174
45,20220208,4,2,10,3,1,42,43,573,3224.1,0,0,500
46,20240911,9,3,7,3,1,48,44,293,890.9,0,0,168
47,20240625,4,9,7,3,1,0,6,344,5556.8,0,0,264
48,20220706,1,10,7,2,1,0,2,173,3527.0,0,0,313
49,20220410,8,6,4,2,1,0,8,549,7421.6,0,0,544
50,20241025,10,2,6,1,1,11,6,190,5577.1,0,0,221
51,20240419,10,11,,9,1,81,79,224,5485.7,0,0,484
52,20240410,7,10,6,1,5,0,5,490,8690.4,0,0,445
53,20220209,1,9,7,3,1,0,3,94,6836.2,0,0,326
54,20220807,9,2,8,10,1,6,15,381,4781.4,0,0,345
55,20240204,9,5,6,2,1,0,0,588,6085.3,0,0,120
56,20241202,5,2,10,7,5,0,4,464,4512.1,0,0,164
57,20231129,6,12,4,8,1,15,22,650,5045.6,0,0,543
58,20220131,2,9,12,1,1,0,6,645,3934.5,0,0,353
59,20241030,2,6,2,1,1,0,0,452,#ERR,0,0,316
60,20230901,8,9,4,1,5,0,0,135,3911.0,0,0,449
61,20240413,7,8,2,3,1,19,15,121,6996.8,0,0,375
62,20230103,7,9,8,1,1,0,10,205,7626.8,0,0,384
63,20231002,1,5,3,8,1,0,10,458,3244.5,0,0,197
64,20221217,4,6,2,1,1,0,1,473,5074.3,0,0,453
65,20220722,7,7,12,10,1,0,0,398,4857.9,0,0,346
66,20230720,3,10,4,2,2,0,6,204,6118.6,0,0,250
67,20241208,6,11,8,2,1,0,0,183,8898.5,0,0,107
68,20220911,4,3,11,1,2,0,0,295,3761.2,0,0,257
69,20230916,9,12,10,2,1,0,6,323,8209.3,0,0,184
70,20230914,3,9,3,1,1,0,8,242,676.4,0,0,118
71,20221209,9,3,1,2,1,5561,2,343,2035.2,0,0,448
72,20231014,9,6,8,1,3,0,0,233,8123.3,0,0,348
73,20220206,8,10,8,1,1,0,5,158,5401.8,0,0,317
74,20241124,8,2,1,2,8,0,3,67,2564.4,0,0,71
75,20230808,1,6,2,3,1,0,0,242,5132.3,0,0,202
76,20240505,4,8,5,1,1,0,2,510,6385.6,0,0,223
77,20220809,1,9,11,1,1,0,3,143,6664.0,0,0,83
78,20241127,6,1,8,2,8,0,1,185,4343.0,0,0,65
79,20240816,2,1,2,8,1,0,0,272,3227.5,0,0,139
80,20230429,1,4,2,2,1,0,8,157,6833.3,0,0,338
81,20240112,3,9,4,1,1,0,1,617,8972.1,0,0,83
82,20230527,6,12,1,1,1,0,0,157,5759.7,0,0,426
83,20240901,5,3,12,2,1,0,6,651,4760.9,0,0,276
84,20230128,3,1,9,2,1,0,0,348,7623.2,0,0,240
85,20221213,4,4,1,1,1,0,6,228,6451.4,0,0,361
86,20230731,4,5,4,3,1,13,11,387,8981.2,0,0,494
87,20220215,4,7,9,1,6,0,10,631,7527.4,0,0,203
88,20231230,2,1,10,1,1,0,10,193,1406.1,0,0,321
89,20240516,1,1,10,10,1,0,0,140,329.2,0,0,458
90,20221209,9,7,1,7,1,91,90,563,3450.5,0,0,270
91,20221130,2,3,6,1,1,0,1,280,6631.6,0,0,392
92,20240518,3,6,9,4,1,0,2,398,6504.7,0,0,141
